Date,Value,
31.12.2016,912.2600,
30.12.2016,907.1400,
29.12.2016,934.5700,
28.12.2016,916.5400,
27.12.2016,880.8000,
26.12.2016,865.1600,
25.12.2016,842.0800,
24.12.2016,866.2000,
23.12.2016,864.7800,
22.12.2016,823.2100,
21.12.2016,788.7700,
20.12.2016,765.4200,
19.12.2016,761.1400,
18.12.2016,757.7600,
17.12.2016,758.5300,
16.12.2016,752.6600,
15.12.2016,744.1100,
14.12.2016,738.4700,
13.12.2016,736.9700,
12.12.2016,740.1400,
11.12.2016,731.4800,
10.12.2016,737.3200,
09.12.2016,730.5700,
08.12.2016,718.7600,
07.12.2016,715.9800,
06.12.2016,709.0500,
05.12.2016,721.3600,
04.12.2016,721.6500,
03.12.2016,721.3400,
02.12.2016,724.1400,
01.12.2016,710.3100,
30.11.2016,697.8600,
29.11.2016,694.6300,
28.11.2016,695.7400,
27.11.2016,695.9800,
26.11.2016,703.6300,
25.11.2016,708.1000,
24.11.2016,710.5400,
23.11.2016,705.5400,
22.11.2016,704.7500,
21.11.2016,700.1900,
20.11.2016,705.6400,
19.11.2016,711.6200,
18.11.2016,704.0000,
17.11.2016,698.8500,
16.11.2016,679.8000,
15.11.2016,665.1200,
14.11.2016,652.1900,
13.11.2016,645.1400,
12.11.2016,657.8300,
11.11.2016,660.8900,
10.11.2016,659.2300,
09.11.2016,661.3900,
08.11.2016,643.6700,
07.11.2016,638.9900,
06.11.2016,638.9300,
05.11.2016,633.7900,
04.11.2016,633.1900,
03.11.2016,656.2400,
02.11.2016,659.6100,
01.11.2016,660.0200,
31.10.2016,640.4300,
30.10.2016,644.2200,
29.10.2016,645.3500,
28.10.2016,632.4900,
27.10.2016,627.3500,
26.10.2016,612.4300,
25.10.2016,605.0400,
24.10.2016,601.7600,
23.10.2016,602.3100,
22.10.2016,591.5800,
21.10.2016,580.5100,
20.10.2016,576.2900,
19.10.2016,579.1200,
18.10.2016,581.4200,
17.10.2016,584.5500,
16.10.2016,585.4800,
15.10.2016,585.3400,
14.10.2016,578.8700,
13.10.2016,579.3300,
12.10.2016,578.0000,
11.10.2016,568.1300,
10.10.2016,552.8600,
09.10.2016,552.8700,
08.10.2016,553.8100,
07.10.2016,553.7400,
06.10.2016,547.9000,
05.10.2016,546.7900,
04.10.2016,545.4300,
03.10.2016,545.7300,
02.10.2016,545.5900,
01.10.2016,546.4200,
30.09.2016,541.2300,
29.09.2016,540.9100,
28.09.2016,541.3500,
27.09.2016,540.6000,
26.09.2016,539.4100,
25.09.2016,537.5800,
24.09.2016,538.9800,
23.09.2016,536.1700,
22.09.2016,534.9400,
21.09.2016,537.0100,
20.09.2016,545.7400,
19.09.2016,547.6500,
18.09.2016,546.7700,
17.09.2016,546.0400,
16.09.2016,542.2200,
15.09.2016,543.4500,
14.09.2016,545.2000,
13.09.2016,542.6300,
12.09.2016,541.3700,
11.09.2016,554.0200,
10.09.2016,556.6600,
09.09.2016,554.1500,
08.09.2016,554.3700,
07.09.2016,544.9900,
06.09.2016,546.2400,
05.09.2016,543.2200,
04.09.2016,540.5600,
03.09.2016,519.4900,
02.09.2016,512.3800,
01.09.2016,514.8000,
31.08.2016,516.2200,
30.08.2016,515.5200,
29.08.2016,512.8400,
28.08.2016,511.2300,
27.08.2016,513.1400,
26.08.2016,517.1200,
25.08.2016,511.1900,
24.08.2016,515.2500,
23.08.2016,518.1100,
22.08.2016,517.8700,
21.08.2016,514.8100,
20.08.2016,512.3700,
19.08.2016,509.4800,
18.08.2016,511.0700,
17.08.2016,512.5800,
16.08.2016,514.0700,
15.08.2016,513.6900,
14.08.2016,521.1000,
13.08.2016,529.7200,
12.08.2016,530.9100,
11.08.2016,532.0400,
10.08.2016,535.6300,
09.08.2016,534.9100,
08.08.2016,536.6200,
07.08.2016,536.0100,
06.08.2016,521.8300,
05.08.2016,517.6000,
04.08.2016,516.8900,
03.08.2016,492.0300,
02.08.2016,531.2100,
01.08.2016,556.6800,
31.07.2016,570.0500,
30.07.2016,588.6500,
29.07.2016,593.6500,
28.07.2016,592.6200,
27.07.2016,594.9600,
26.07.2016,594.2800,
25.07.2016,599.2100,
24.07.2016,599.1500,
23.07.2016,595.8900,
22.07.2016,599.0400,
21.07.2016,603.4400,
20.07.2016,608.4200,
19.07.2016,607.5600,
18.07.2016,613.4200,
17.07.2016,607.6100,
16.07.2016,602.9600,
15.07.2016,602.0800,
14.07.2016,593.1400,
13.07.2016,598.5100,
12.07.2016,594.9400,
11.07.2016,588.3500,
10.07.2016,586.2200,
09.07.2016,591.0200,
08.07.2016,586.9800,
07.07.2016,583.3500,
06.07.2016,609.2800,
05.07.2016,610.2300,
04.07.2016,604.3100,
03.07.2016,609.2600,
02.07.2016,620.2700,
01.07.2016,609.8800,
30.06.2016,591.1600,
29.06.2016,573.5200,
28.06.2016,585.6200,
27.06.2016,582.4200,
26.06.2016,580.9700,
25.06.2016,607.2300,
24.06.2016,591.9900,
23.06.2016,522.2700,
22.06.2016,579.5000,
21.06.2016,608.4500,
20.06.2016,663.5800,
19.06.2016,671.1700,
18.06.2016,668.0300,
17.06.2016,665.6600,
16.06.2016,659.4000,
15.06.2016,609.8200,
14.06.2016,614.1600,
13.06.2016,610.4200,
12.06.2016,569.3800,
11.06.2016,521.5600,
10.06.2016,515.1400,
09.06.2016,513.1200,
08.06.2016,509.5900,
07.06.2016,514.8800,
06.06.2016,514.2200,
05.06.2016,508.1100,
04.06.2016,505.8600,
03.06.2016,492.5500,
02.06.2016,483.0300,
01.06.2016,478.4600,
31.05.2016,482.1600,
30.05.2016,480.0200,
29.05.2016,472.4500,
28.05.2016,448.4000,
27.05.2016,425.4400,
26.05.2016,406.0900,
25.05.2016,405.4500,
24.05.2016,403.4000,
23.05.2016,396.3600,
22.05.2016,396.9400,
21.05.2016,397.9300,
20.05.2016,396.2100,
19.05.2016,404.8300,
18.05.2016,407.2700,
17.05.2016,404.8400,
16.05.2016,406.3200,
15.05.2016,407.8300,
14.05.2016,406.0200,
13.05.2016,404.5300,
12.05.2016,399.4500,
11.05.2016,399.0900,
10.05.2016,403.0200,
09.05.2016,405.7900,
08.05.2016,404.1600,
07.05.2016,403.4100,
06.05.2016,397.9100,
05.05.2016,393.9900,
04.05.2016,391.0000,
03.05.2016,390.0100,
02.05.2016,389.1900,
01.05.2016,395.9200,
30.04.2016,397.3300,
29.04.2016,395.5900,
28.04.2016,393.6300,
27.04.2016,407.3400,
26.04.2016,412.8000,
25.04.2016,408.7700,
24.04.2016,405.4900,
23.04.2016,399.9100,
22.04.2016,398.1900,
21.04.2016,394.2900,
20.04.2016,388.3700,
19.04.2016,380.8800,
18.04.2016,380.4900,
17.04.2016,382.2700,
16.04.2016,383.6200,
15.04.2016,380.3600,
14.04.2016,378.0400,
13.04.2016,377.0000,
12.04.2016,374.5000,
11.04.2016,371.4800,
10.04.2016,370.2300,
09.04.2016,368.1100,
08.04.2016,372.4100,
07.04.2016,372.5300,
06.04.2016,373.1500,
05.04.2016,372.8600,
04.04.2016,370.5000,
03.04.2016,370.8500,
02.04.2016,370.7300,
01.04.2016,367.6900,
31.03.2016,368.2400,
30.03.2016,367.7100,
29.03.2016,373.7500,
28.03.2016,380.0500,
27.03.2016,378.7500,
26.03.2016,376.8000,
25.03.2016,376.6100,
24.03.2016,375.9800,
23.03.2016,376.0700,
22.03.2016,373.9500,
21.03.2016,367.2800,
20.03.2016,367.4600,
19.03.2016,365.1900,
18.03.2016,370.1000,
17.03.2016,373.7500,
16.03.2016,377.8100,
15.03.2016,377.3200,
14.03.2016,375.0500,
13.03.2016,372.3700,
12.03.2016,373.7600,
11.03.2016,378.8400,
10.03.2016,373.7800,
09.03.2016,377.6500,
08.03.2016,377.2700,
07.03.2016,373.5900,
06.03.2016,368.6800,
05.03.2016,368.2600,
04.03.2016,383.7700,
03.03.2016,386.7800,
02.03.2016,399.5500,
01.03.2016,401.6700,
29.02.2016,402.2400,
28.02.2016,394.7100,
27.02.2016,397.1500,
26.02.2016,389.1800,
25.02.2016,385.2300,
24.02.2016,384.4700,
23.02.2016,390.0800,
22.02.2016,396.6400,
21.02.2016,395.0000,
20.02.2016,387.4400,
19.02.2016,378.1600,
18.02.2016,378.8100,
17.02.2016,373.2400,
16.02.2016,363.1800,
15.02.2016,362.4500,
14.02.2016,356.1200,
13.02.2016,346.9500,
12.02.2016,340.3800,
11.02.2016,335.5300,
10.02.2016,337.8200,
09.02.2016,332.0500,
08.02.2016,337.8300,
07.02.2016,339.6100,
06.02.2016,339.1100,
05.02.2016,348.6100,
04.02.2016,339.6700,
03.02.2016,338.7900,
02.02.2016,345.0400,
01.02.2016,344.3700,
31.01.2016,351.4200,
30.01.2016,351.5000,
29.01.2016,348.4600,
28.01.2016,353.3500,
27.01.2016,364.5800,
26.01.2016,364.4800,
25.01.2016,366.8000,
24.01.2016,368.8800,
23.01.2016,361.5100,
22.01.2016,366.1500,
21.01.2016,381.9900,
20.01.2016,362.0500,
19.01.2016,353.4500,
18.01.2016,353.4300,
17.01.2016,353.4800,
16.01.2016,341.2800,
15.01.2016,369.4200,
14.01.2016,397.9300,
13.01.2016,396.3800,
12.01.2016,413.3600,
11.01.2016,413.1500,
10.01.2016,408.6500,
09.01.2016,413.5300,
08.01.2016,417.3900,
07.01.2016,411.5700,
06.01.2016,400.9800,
05.01.2016,403.0200,
04.01.2016,398.9400,
03.01.2016,396.8700,
02.01.2016,400.3000,
01.01.2016,399.5700,
31.12.2015,393.4600,
30.12.2015,394.2300,
29.12.2015,390.7700,
28.12.2015,388.1600,
27.12.2015,382.4500,
26.12.2015,392.4700,
25.12.2015,415.5800,
24.12.2015,415.1500,
23.12.2015,405.2400,
22.12.2015,402.1800,
21.12.2015,401.5700,
20.12.2015,418.5100,
19.12.2015,427.0000,
18.12.2015,424.4600,
17.12.2015,420.9300,
16.12.2015,419.3500,
15.12.2015,418.3500,
14.12.2015,401.9200,
13.12.2015,397.5800,
12.12.2015,393.6300,
11.12.2015,394.2000,
10.12.2015,380.8200,
09.12.2015,379.8200,
08.12.2015,364.6700,
07.12.2015,364.0600,
06.12.2015,362.6900,
05.12.2015,345.6100,
04.12.2015,332.6900,
03.12.2015,333.6100,
02.12.2015,336.4900,
01.12.2015,346.8300,
30.11.2015,356.6000,
29.11.2015,342.1400,
28.11.2015,336.5200,
27.11.2015,336.0200,
26.11.2015,323.7500,
25.11.2015,305.6000,
24.11.2015,303.9800,
23.11.2015,305.0500,
22.11.2015,306.0500,
21.11.2015,306.4000,
20.11.2015,301.4500,
19.11.2015,309.8600,
18.11.2015,314.5500,
17.11.2015,315.1300,
16.11.2015,301.8400,
15.11.2015,306.1900,
14.11.2015,310.9900,
13.11.2015,310.5800,
12.11.2015,303.6500,
11.11.2015,294.5500,
10.11.2015,341.9700,
09.11.2015,349.8300,
08.11.2015,357.4200,
07.11.2015,357.9700,
06.11.2015,346.9600,
05.11.2015,368.1800,
04.11.2015,411.3800,
03.11.2015,349.3800,
02.11.2015,305.1500,
01.11.2015,289.2200,
31.10.2015,294.1400,
30.10.2015,295.6800,
29.10.2015,282.6800,
28.10.2015,276.0900,
27.10.2015,265.6900,
26.10.2015,258.1200,
25.10.2015,263.4100,
24.10.2015,255.6900,
23.10.2015,251.9900,
22.10.2015,246.0200,
21.10.2015,237.9100,
20.10.2015,237.0600,
19.10.2015,233.8400,
18.10.2015,235.9400,
17.10.2015,237.9200,
16.10.2015,230.3100,
15.10.2015,225.1900,
14.10.2015,220.9400,
13.10.2015,219.0200,
12.10.2015,218.8100,
11.10.2015,219.0400,
10.10.2015,217.4100,
09.10.2015,216.6700,
08.10.2015,217.8700,
07.10.2015,219.6800,
06.10.2015,217.5300,
05.10.2015,214.8200,
04.10.2015,214.9700,
03.10.2015,214.2100,
02.10.2015,213.4800,
01.10.2015,213.4500,
30.09.2015,213.6900,
